mountain,base_depth,region,new_snow,day,year_total
Mt. Bachelor,110 in.,Oregon,10 in.,"Mar  5, 2013",191 in.
Willamette Pass,45 in.,Oregon,3 in.,"Mar  2, 2009",105 in.
Willamette Pass,30 in.,Oregon,5 in.,"Dec 21, 2010",135 in.
Mt. Bachelor,129 in.,Oregon,6 in.,"Mar  6, 2012",240 in.
Mt. Bachelor,133 in.,Oregon,6 in.,"Mar 26, 2009",197 in.
Mt. Bachelor,99 in.,Oregon,3 in.,"Mar 29, 2010",133 in.
Mt. Bachelor,31 in.,Oregon,4 in.,"Dec  6, 2015",102 in.
Mount Ashland,70 in.,Oregon,9 in.,"Mar 16, 2009",98 in.
Mt. Bachelor,117 in.,Oregon,2 in.,"Feb 21, 2014",392 in.
Mt. Hood Meadows,57 in.,Mt. Hood,3 in.,"Feb  3, 2014",65 in.
Mt. Hood Meadows,86 in.,Mt. Hood,7 in.,"Feb  2, 2010",50 in.
Mt. Hood Meadows,122 in.,Mt. Hood,22 in.,"Mar  1, 2011",81 in.
Mt. Hood Ski Bowl,70 in.,Mt. Hood,13 in.,"Jan  1, 2009",13 in.
Mt. Hood Ski Bowl,29 in.,Mt. Hood,1 in.,"Jan  3, 2010",1 in.
Mt. Hood Ski Bowl,46 in.,Mt. Hood,3 in.,"Jan  8, 2011",3 in.
Mt. Hood Ski Bowl,48 in.,Mt. Hood,3 in.,"Jan  9, 2011",6 in.
Mt. Hood Meadows,92 in.,Mt. Hood,8 in.,"Jan 22, 2012",120 in.
Mt. Hood Meadows,38 in.,Mt. Hood,1 in.,"Jan  3, 2015",1 in.
Mt. Hood Meadows,38 in.,Mt. Hood,1 in.,"Jan  4, 2015",2 in.
Mt. Hood Meadows,78 in.,Mt. Hood,4 in.,"Jan  4, 2016",4 in.
Mt. Hood Meadows,77 in.,Mt. Hood,5 in.,"Jan  5, 2016",9 in.
Mt. Hood Meadows,96 in.,Mt. Hood,10 in.,"Jan 28, 2013",37 in.
Mt. Hood Ski Bowl,22 in.,Mt. Hood,2 in.,"Jan  6, 2012",2 in.
Hoodoo Ski Area,0 in.,Oregon,1 in.,"Apr  3, 2011",113 in.
Hoodoo Ski Area,35 in.,Oregon,11 in.,"Nov 22, 2011",124 in.
Hoodoo Ski Area,22 in.,Oregon,12 in.,"Mar  1, 2012",99 in.
Hoodoo Ski Area,48 in.,Oregon,5 in.,"Mar 29, 2014",113 in.
Mt. Hood Meadows,83 in.,Mt. Hood,3 in.,"Feb 10, 2009",83 in.
Hoodoo Ski Area,0 in.,Oregon,1 in.,"Apr  6, 2013",91 in.
Hoodoo Ski Area,0 in.,Oregon,1 in.,"Dec 21, 2013",92 in.
Mount Ashland,50 in.,Oregon,1 in.,"Feb 28, 2012",93 in.
Mount Ashland,50 in.,Oregon,1 in.,"Feb 29, 2012",94 in.
Hoodoo Ski Area,24 in.,Oregon,4 in.,"Feb 10, 2009",42 in.
Hoodoo Ski Area,0 in.,Oregon,8 in.,"Dec 15, 2010",115 in.
Hoodoo Ski Area,0 in.,Oregon,1 in.,"Dec 16, 2010",116 in.
Anthony Lakes Mountain Resort,63 in.,Oregon,3 in.,"Mar 13, 2014",92 in.
Anthony Lakes Mountain Resort,63 in.,Oregon,4 in.,"Mar 27, 2014",96 in.
Mount Ashland,14 in.,Oregon,8 in.,"Nov 22, 2010",148 in.
Mount Ashland,108 in.,Oregon,1 in.,"Apr  8, 2011",122 in.
Anthony Lakes Mountain Resort,0 in.,Oregon,1 in.,"Dec 13, 2009",177 in.
Anthony Lakes Mountain Resort,0 in.,Oregon,5 in.,"Dec 21, 2010",141 in.
Anthony Lakes Mountain Resort,42 in.,Oregon,4 in.,"Dec 19, 2012",131 in.
Anthony Lakes Mountain Resort,42 in.,Oregon,2 in.,"Dec 21, 2012",133 in.
Anthony Lakes Mountain Resort,70 in.,Oregon,1 in.,"Mar 29, 2013",152 in.
Anthony Lakes Mountain Resort,60 in.,Oregon,1 in.,"Apr  5, 2013",153 in.
Willamette Pass,30 in.,Oregon,1 in.,"Apr  8, 2012",233 in.
Mt. Bachelor,145 in.,Oregon,4 in.,"Mar 18, 2011",189 in.
Mt. Bachelor,118 in.,Oregon,11 in.,"Mar  6, 2013",202 in.
Willamette Pass,47 in.,Oregon,2 in.,"Mar  3, 2009",107 in.
Willamette Pass,29 in.,Oregon,2 in.,"Dec 26, 2010",137 in.
Willamette Pass,32 in.,Oregon,2 in.,"Dec 27, 2010",139 in.
Mt. Bachelor,129 in.,Oregon,4 in.,"Mar  7, 2012",244 in.
Mt. Bachelor,159 in.,Oregon,7 in.,"Mar 30, 2009",204 in.
Mt. Bachelor,112 in.,Oregon,18 in.,"Mar 30, 2010",151 in.
Mt. Bachelor,33 in.,Oregon,18 in.,"Dec  7, 2015",120 in.
Mount Ashland,70 in.,Oregon,9 in.,"Mar 17, 2009",107 in.
Mt. Bachelor,105 in.,Oregon,8 in.,"Feb 27, 2014",400 in.
Mt. Hood Meadows,58 in.,Mt. Hood,4 in.,"Feb  4, 2014",69 in.
Mt. Hood Meadows,87 in.,Mt. Hood,4 in.,"Feb  5, 2010",54 in.
Mt. Hood Meadows,119 in.,Mt. Hood,5 in.,"Mar  2, 2011",86 in.
Mt. Hood Ski Bowl,Base Depth,Mt. Hood,24 hr New Snow,Date,Season Snowfall Total
Mt. Hood Ski Bowl,Base Depth,Mt. Hood,24 hr New Snow,Date,Season Snowfall Total
Mt. Hood Ski Bowl,Base Depth,Mt. Hood,24 hr New Snow,Date,Season Snowfall Total
Mt. Hood Ski Bowl,73 in.,Mt. Hood,4 in.,"Jan  2, 2009",17 in.
Mt. Hood Ski Bowl,73 in.,Mt. Hood,6 in.,"Jan  3, 2009",23 in.
Mt. Hood Ski Bowl,Base Depth,Mt. Hood,24 hr New Snow,Date,Season Snowfall Total
Mt. Hood Ski Bowl,26 in.,Mt. Hood,7 in.,"Jan 23, 2010",8 in.
Mt. Hood Ski Bowl,54 in.,Mt. Hood,4 in.,"Jan 10, 2011",10 in.
Mt. Hood Ski Bowl,38 in.,Mt. Hood,9 in.,"Jan 19, 2011",19 in.
Mt. Hood Meadows,96 in.,Mt. Hood,4 in.,"Jan 23, 2012",124 in.
Mt. Hood Meadows,38 in.,Mt. Hood,3 in.,"Jan  5, 2015",5 in.
Mt. Hood Meadows,79 in.,Mt. Hood,5 in.,"Jan  6, 2016",14 in.
Mt. Hood Meadows,77 in.,Mt. Hood,2 in.,"Jan 12, 2016",16 in.
Mt. Hood Meadows,103 in.,Mt. Hood,17 in.,"Jan 29, 2013",54 in.
Mt. Hood Ski Bowl,24 in.,Mt. Hood,9 in.,"Jan 15, 2012",11 in.
Hoodoo Ski Area,35 in.,Oregon,7 in.,"Nov 23, 2011",131 in.
Hoodoo Ski Area,35 in.,Oregon,5 in.,"Nov 25, 2011",136 in.
Hoodoo Ski Area,83 in.,Oregon,5 in.,"Mar 11, 2012",104 in.
Hoodoo Ski Area,83 in.,Oregon,5 in.,"Mar 12, 2012",109 in.
Hoodoo Ski Area,48 in.,Oregon,2 in.,"Mar 30, 2014",115 in.
Hoodoo Ski Area,48 in.,Oregon,1 in.,"Apr  1, 2014",116 in.
Mt. Hood Meadows,88 in.,Mt. Hood,1 in.,"Feb 12, 2009",84 in.
Mount Ashland,70 in.,Oregon,5 in.,"Mar  1, 2012",99 in.
Hoodoo Ski Area,60 in.,Oregon,8 in.,"Feb 11, 2009",50 in.
Hoodoo Ski Area,60 in.,Oregon,2 in.,"Feb 12, 2009",52 in.
Hoodoo Ski Area,0 in.,Oregon,2 in.,"Dec 21, 2010",118 in.
Hoodoo Ski Area,36 in.,Oregon,3 in.,"Dec 26, 2010",121 in.
Anthony Lakes Mountain Resort,63 in.,Oregon,4 in.,"Mar 28, 2014",100 in.
Mount Ashland,32 in.,Oregon,8 in.,"Dec  3, 2010",156 in.
Mount Ashland,32 in.,Oregon,1 in.,"Dec  4, 2010",157 in.
Mount Ashland,103 in.,Oregon,1 in.,"Apr 15, 2011",123 in.
Mount Ashland,21 in.,Oregon,11 in.,"Nov 22, 2011",134 in.
Anthony Lakes Mountain Resort,17 in.,Oregon,1 in.,"Dec 20, 2009",178 in.
Anthony Lakes Mountain Resort,39 in.,Oregon,12 in.,"Dec 23, 2009",190 in.
Anthony Lakes Mountain Resort,0 in.,Oregon,4 in.,"Dec 27, 2010",145 in.
Anthony Lakes Mountain Resort,42 in.,Oregon,8 in.,"Dec 23, 2012",141 in.
Anthony Lakes Mountain Resort,60 in.,Oregon,1 in.,"Apr  6, 2013",154 in.
Willamette Pass,30 in.,Oregon,1 in.,"Apr  9, 2012",234 in.
Mt. Bachelor,147 in.,Oregon,6 in.,"Mar 19, 2011",195 in.
Mt. Bachelor,118 in.,Oregon,4 in.,"Mar  7, 2013",206 in.
Willamette Pass,47 in.,Oregon,3 in.,"Mar  4, 2009",110 in.
Willamette Pass,39 in.,Oregon,18 in.,"Dec 29, 2010",157 in.
Willamette Pass,43 in.,Oregon,10 in.,"Dec 30, 2010",167 in.
Mt. Bachelor,121 in.,Oregon,3 in.,"Mar 11, 2012",247 in.
Mt. Bachelor,160 in.,Oregon,5 in.,"Apr  1, 2009",209 in.
Mt. Bachelor,115 in.,Oregon,8 in.,"Mar 31, 2010",159 in.
Mt. Bachelor,25 in.,Oregon,5 in.,"Dec  9, 2015",125 in.
Mount Ashland,68 in.,Oregon,4 in.,"Mar 22, 2009",111 in.
Mt. Bachelor,105 in.,Oregon,10 in.,"Feb 28, 2014",410 in.
Mt. Hood Meadows,60 in.,Mt. Hood,2 in.,"Feb  5, 2014",71 in.
Mt. Hood Meadows,87 in.,Mt. Hood,2 in.,"Feb  7, 2010",56 in.
Mt. Hood Meadows,120 in.,Mt. Hood,4 in.,"Mar  4, 2011",90 in.
Mt. Hood Ski Bowl,54 in.,Mt. Hood,1 in.,"Jan  6, 2013",1 in.
Mt. Hood Ski Bowl,54 in.,Mt. Hood,3 in.,"Jan  7, 2013",4 in.
Mt. Hood Ski Bowl,6 in.,Mt. Hood,1 in.,"Jan  9, 2014",1 in.
Mt. Hood Ski Bowl,6 in.,Mt. Hood,2 in.,"Jan 10, 2014",3 in.
Mt. Hood Ski Bowl,26 in.,Mt. Hood,1 in.,"Jan  4, 2015",1 in.
Mt. Hood Ski Bowl,8 in.,Mt. Hood,1 in.,"Jan 18, 2015",2 in.
Mt. Hood Ski Bowl,70 in.,Mt. Hood,1 in.,"Jan  4, 2009",24 in.
Mt. Hood Ski Bowl,56 in.,Mt. Hood,1 in.,"Jan  3, 2016",1 in.
Mt. Hood Ski Bowl,52 in.,Mt. Hood,1 in.,"Jan  9, 2016",2 in.
Timberline Lodge,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Hood Ski Bowl,18 in.,Mt. Hood,10 in.,"Jan 25, 2010",18 in.
Timberline Lodge,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Hood Ski Bowl,26 in.,Mt. Hood,4 in.,"Feb  8, 2011",23 in.
Mt. Hood Meadows,97 in.,Mt. Hood,6 in.,"Jan 24, 2012",130 in.
Mt. Hood Meadows,30 in.,Mt. Hood,2 in.,"Jan 12, 2015",7 in.
Mt. Hood Meadows,38 in.,Mt. Hood,4 in.,"Jan 16, 2015",11 in.
Mt. Hood Meadows,81 in.,Mt. Hood,6 in.,"Jan 13, 2016",22 in.
Mt. Hood Meadows,84 in.,Mt. Hood,5 in.,"Jan 14, 2016",27 in.
Mt. Hood Meadows,102 in.,Mt. Hood,4 in.,"Jan 30, 2013",58 in.
Mt. Hood Ski Bowl,24 in.,Mt. Hood,7 in.,"Jan 16, 2012",18 in.
Hoodoo Ski Area,21 in.,Oregon,2 in.,"Dec 15, 2011",138 in.
Hoodoo Ski Area,83 in.,Oregon,9 in.,"Mar 14, 2012",118 in.
Mt. Hood Meadows,87 in.,Mt. Hood,4 in.,"Feb 14, 2009",88 in.
Mount Ashland,72 in.,Oregon,4 in.,"Mar  2, 2012",103 in.
Hoodoo Ski Area,60 in.,Oregon,2 in.,"Feb 13, 2009",54 in.
Hoodoo Ski Area,0 in.,Oregon,10 in.,"Dec 27, 2010",131 in.
Hoodoo Ski Area,0 in.,Oregon,21 in.,"Dec 29, 2010",152 in.
Anthony Lakes Mountain Resort,63 in.,Oregon,6 in.,"Mar 29, 2014",106 in.
Mount Ashland,30 in.,Oregon,2 in.,"Dec  9, 2010",159 in.
Mount Ashland,24 in.,Oregon,6 in.,"Dec 16, 2010",165 in.
Mount Ashland,21 in.,Oregon,11 in.,"Nov 23, 2011",145 in.
Mount Ashland,24 in.,Oregon,3 in.,"Nov 25, 2011",148 in.
Anthony Lakes Mountain Resort,38 in.,Oregon,1 in.,"Dec 25, 2009",191 in.
Anthony Lakes Mountain Resort,38 in.,Oregon,1 in.,"Dec 26, 2009",192 in.
Anthony Lakes Mountain Resort,0 in.,Oregon,8 in.,"Dec 29, 2010",153 in.
Anthony Lakes Mountain Resort,0 in.,Oregon,12 in.,"Dec 30, 2010",165 in.
Anthony Lakes Mountain Resort,46 in.,Oregon,12 in.,"Dec 24, 2012",153 in.
Anthony Lakes Mountain Resort,60 in.,Oregon,4 in.,"Apr  7, 2013",158 in.
Anthony Lakes Mountain Resort,26 in.,Oregon,8 in.,"Dec  4, 2013",166 in.
Willamette Pass,32 in.,Oregon,5 in.,"Apr 14, 2012",239 in.
Mt. Bachelor,148 in.,Oregon,3 in.,"Mar 20, 2011",198 in.
Mt. Bachelor,119 in.,Oregon,1 in.,"Mar  8, 2013",207 in.
Willamette Pass,45 in.,Oregon,4 in.,"Mar  5, 2009",114 in.
Mt. Bachelor,124 in.,Oregon,8 in.,"Mar 12, 2012",255 in.
Mt. Bachelor,162 in.,Oregon,8 in.,"Apr  2, 2009",217 in.
Mt. Bachelor,127 in.,Oregon,13 in.,"Apr  3, 2010",172 in.
Mt. Bachelor,36 in.,Oregon,5 in.,"Dec 10, 2015",130 in.
Mount Ashland,70 in.,Oregon,2 in.,"Mar 23, 2009",113 in.
Mt. Bachelor,105 in.,Oregon,17 in.,"Mar  1, 2014",427 in.
Mt. Hood Meadows,63 in.,Mt. Hood,8 in.,"Feb  7, 2014",79 in.
Mt. Hood Meadows,88 in.,Mt. Hood,4 in.,"Feb 11, 2010",60 in.
Mt. Hood Meadows,121 in.,Mt. Hood,5 in.,"Mar  5, 2011",95 in.
Mt. Hood Ski Bowl,54 in.,Mt. Hood,4 in.,"Jan 10, 2013",8 in.
Timberline Lodge,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Hood Ski Bowl,6 in.,Mt. Hood,12 in.,"Jan 12, 2014",15 in.
Mt. Hood Ski Bowl,31 in.,Mt. Hood,9 in.,"Dec 17, 2015",11 in.
Mt. Hood Ski Bowl,24 in.,Mt. Hood,2 in.,"Dec 20, 2015",13 in.
Mt. Hood Ski Bowl,69 in.,Mt. Hood,7 in.,"Jan  5, 2009",31 in.
Mt. Hood Ski Bowl,47 in.,Mt. Hood,3 in.,"Jan 14, 2016",5 in.
Mt. Hood Ski Bowl,55 in.,Mt. Hood,6 in.,"Jan 15, 2016",11 in.
Timberline Lodge,72 in.,Oregon,1 in.,"Jan 13, 2010",1 in.
Mt. Hood Ski Bowl,18 in.,Mt. Hood,10 in.,"Jan 26, 2010",28 in.
Timberline Lodge,102 in.,Oregon,11 in.,"Jan  1, 2009",11 in.
Mt. Hood Ski Bowl,30 in.,Mt. Hood,2 in.,"Feb  9, 2011",25 in.
Mt. Hood Ski Bowl,33 in.,Mt. Hood,4 in.,"Feb 13, 2011",29 in.
Mt. Hood Meadows,96 in.,Mt. Hood,2 in.,"Jan 25, 2012",132 in.
Mt. Hood Meadows,34 in.,Mt. Hood,1 in.,"Jan 18, 2015",12 in.
Mt. Hood Meadows,38 in.,Mt. Hood,5 in.,"Jan 19, 2015",17 in.
Mt. Hood Meadows,84 in.,Mt. Hood,10 in.,"Jan 15, 2016",37 in.
Mt. Hood Meadows,93 in.,Mt. Hood,3 in.,"Jan 16, 2016",40 in.
Mt. Hood Meadows,102 in.,Mt. Hood,1 in.,"Jan 31, 2013",59 in.
Mt. Hood Ski Bowl,24 in.,Mt. Hood,14 in.,"Jan 17, 2012",32 in.
Hoodoo Ski Area,21 in.,Oregon,2 in.,"Dec 16, 2011",140 in.
Hoodoo Ski Area,21 in.,Oregon,3 in.,"Dec 27, 2011",143 in.
Hoodoo Ski Area,83 in.,Oregon,6 in.,"Mar 15, 2012",124 in.
Mt. Hood Meadows,90 in.,Mt. Hood,2 in.,"Feb 16, 2009",90 in.
Mount Ashland,63 in.,Oregon,1 in.,"Mar 11, 2012",104 in.
Hoodoo Ski Area,60 in.,Oregon,4 in.,"Feb 14, 2009",58 in.
Hoodoo Ski Area,0 in.,Oregon,12 in.,"Dec 30, 2010",164 in.
Anthony Lakes Mountain Resort,63 in.,Oregon,5 in.,"Apr  3, 2014",111 in.
Mount Ashland,34 in.,Oregon,8 in.,"Dec 19, 2010",173 in.
Mount Ashland,17 in.,Oregon,2 in.,"Dec 31, 2011",150 in.
Anthony Lakes Mountain Resort,0 in.,Oregon,1 in.,"Dec 31, 2010",166 in.
Anthony Lakes Mountain Resort,55 in.,Oregon,8 in.,"Dec 26, 2012",161 in.
Anthony Lakes Mountain Resort,26 in.,Oregon,1 in.,"Dec 14, 2013",167 in.
Anthony Lakes Mountain Resort,28 in.,Oregon,4 in.,"Dec 22, 2013",171 in.
Willamette Pass,6 in.,Oregon,6 in.,"Nov 22, 2012",245 in.
Mt. Bachelor,152 in.,Oregon,7 in.,"Mar 21, 2011",205 in.
Mt. Bachelor,106 in.,Oregon,4 in.,"Mar 16, 2013",211 in.
Willamette Pass,50 in.,Oregon,6 in.,"Mar  9, 2009",120 in.
Mt. Bachelor,129 in.,Oregon,14 in.,"Mar 13, 2012",269 in.
Mt. Bachelor,169 in.,Oregon,10 in.,"Apr  3, 2009",227 in.
Mt. Bachelor,124 in.,Oregon,2 in.,"Apr  5, 2010",174 in.
Mt. Bachelor,42 in.,Oregon,5 in.,"Dec 11, 2015",135 in.
Mount Ashland,70 in.,Oregon,2 in.,"Mar 24, 2009",115 in.
Mount Ashland,62 in.,Oregon,1 in.,"Mar 29, 2009",116 in.
Mt. Bachelor,107 in.,Oregon,12 in.,"Mar  2, 2014",439 in.
Mt. Hood Meadows,71 in.,Mt. Hood,9 in.,"Feb  8, 2014",88 in.
Mt. Hood Meadows,89 in.,Mt. Hood,2 in.,"Feb 12, 2010",62 in.
Mt. Hood Meadows,119 in.,Mt. Hood,1 in.,"Mar  6, 2011",96 in.
Mt. Hood Ski Bowl,54 in.,Mt. Hood,1 in.,"Jan 11, 2013",9 in.
Timberline Lodge,100 in.,Oregon,3 in.,"Jan  8, 2011",3 in.
Mt. Hood Ski Bowl,6 in.,Mt. Hood,2 in.,"Jan 15, 2014",17 in.
Mt. Hood Ski Bowl,12 in.,Mt. Hood,1 in.,"Jan 31, 2014",18 in.
Mt. Hood Ski Bowl,24 in.,Mt. Hood,6 in.,"Dec 21, 2015",19 in.
Mt. Hood Ski Bowl,40 in.,Mt. Hood,4 in.,"Dec 22, 2015",23 in.
Mt. Hood Ski Bowl,70 in.,Mt. Hood,4 in.,"Jan  6, 2009",35 in.
Mt. Hood Ski Bowl,50 in.,Mt. Hood,1 in.,"Jan 19, 2016",12 in.
Mt. Hood Ski Bowl,56 in.,Mt. Hood,7 in.,"Jan 20, 2016",19 in.
Timberline Lodge,74 in.,Oregon,4 in.,"Jan 14, 2010",5 in.
Mt. Hood Ski Bowl,18 in.,Mt. Hood,6 in.,"Feb  2, 2010",34 in.
Timberline Lodge,110 in.,Oregon,14 in.,"Jan  2, 2009",25 in.
Mt. Hood Ski Bowl,35 in.,Mt. Hood,8 in.,"Feb 15, 2011",37 in.
Mt. Hood Meadows,100 in.,Mt. Hood,6 in.,"Jan 26, 2012",138 in.
Mt. Hood Meadows,29 in.,Mt. Hood,4 in.,"Feb  3, 2015",21 in.
Mt. Hood Meadows,91 in.,Mt. Hood,2 in.,"Jan 17, 2016",42 in.
Mt. Hood Meadows,94 in.,Mt. Hood,6 in.,"Jan 18, 2016",48 in.
Mt. Hood Meadows,98 in.,Mt. Hood,5 in.,"Feb  6, 2013",64 in.
Mt. Hood Ski Bowl,24 in.,Mt. Hood,14 in.,"Jan 18, 2012",46 in.
Hoodoo Ski Area,83 in.,Oregon,6 in.,"Mar 16, 2012",130 in.
Mt. Hood Meadows,88 in.,Mt. Hood,1 in.,"Feb 22, 2009",91 in.
Mount Ashland,63 in.,Oregon,4 in.,"Mar 12, 2012",108 in.
Hoodoo Ski Area,62 in.,Oregon,4 in.,"Feb 16, 2009",62 in.
Anthony Lakes Mountain Resort,63 in.,Oregon,1 in.,"Apr  4, 2014",112 in.
Mount Ashland,47 in.,Oregon,1 in.,"Dec 21, 2010",174 in.
Mount Ashland,49 in.,Oregon,2 in.,"Dec 22, 2010",176 in.
Anthony Lakes Mountain Resort,28 in.,Oregon,3 in.,"Dec 31, 2013",174 in.
Willamette Pass,6 in.,Oregon,4 in.,"Dec  1, 2012",249 in.
Mt. Bachelor,150 in.,Oregon,4 in.,"Mar 22, 2011",209 in.
Mt. Bachelor,110 in.,Oregon,4 in.,"Mar 17, 2013",215 in.
Willamette Pass,50 in.,Oregon,6 in.,"Mar 10, 2009",126 in.
Mt. Bachelor,132 in.,Oregon,6 in.,"Mar 14, 2012",275 in.
Mt. Bachelor,167 in.,Oregon,2 in.,"Apr  4, 2009",229 in.
Mt. Bachelor,124 in.,Oregon,4 in.,"Apr  6, 2010",178 in.
Mt. Bachelor,45 in.,Oregon,12 in.,"Dec 12, 2015",147 in.
Mount Ashland,62 in.,Oregon,2 in.,"Apr  3, 2009",118 in.
Mt. Bachelor,111 in.,Oregon,3 in.,"Mar  3, 2014",442 in.
Mt. Hood Meadows,77 in.,Mt. Hood,9 in.,"Feb  9, 2014",97 in.
Mt. Hood Meadows,90 in.,Mt. Hood,2 in.,"Feb 13, 2010",64 in.
Mt. Hood Meadows,118 in.,Mt. Hood,2 in.,"Mar  8, 2011",98 in.
Mt. Hood Ski Bowl,54 in.,Mt. Hood,1 in.,"Jan 12, 2013",10 in.
Mt. Hood Ski Bowl,46 in.,Mt. Hood,1 in.,"Jan 25, 2013",11 in.
Timberline Lodge,108 in.,Oregon,5 in.,"Jan 10, 2011",8 in.
Mt. Hood Ski Bowl,12 in.,Mt. Hood,6 in.,"Feb  1, 2014",24 in.
Mt. Hood Ski Bowl,13 in.,Mt. Hood,4 in.,"Feb  4, 2014",28 in.
Mt. Hood Ski Bowl,40 in.,Mt. Hood,2 in.,"Dec 23, 2015",25 in.
Mt. Hood Ski Bowl,57 in.,Mt. Hood,12 in.,"Dec 24, 2015",37 in.
Mt. Hood Ski Bowl,60 in.,Mt. Hood,3 in.,"Jan  8, 2009",38 in.
Mt. Hood Ski Bowl,54 in.,Mt. Hood,2 in.,"Jan 21, 2016",21 in.
Mt. Hood Ski Bowl,50 in.,Mt. Hood,1 in.,"Jan 23, 2016",22 in.
Timberline Lodge,80 in.,Oregon,3 in.,"Jan 17, 2010",8 in.
Mt. Hood Ski Bowl,37 in.,Mt. Hood,4 in.,"Feb  5, 2010",38 in.
Timberline Lodge,110 in.,Oregon,14 in.,"Jan  3, 2009",39 in.
Mt. Hood Ski Bowl,35 in.,Mt. Hood,6 in.,"Feb 16, 2011",43 in.
Mt. Hood Meadows,99 in.,Mt. Hood,2 in.,"Jan 27, 2012",140 in.
Mt. Hood Meadows,33 in.,Mt. Hood,6 in.,"Feb 10, 2015",27 in.
Mt. Hood Meadows,35 in.,Mt. Hood,2 in.,"Feb 27, 2015",29 in.
Mt. Hood Meadows,93 in.,Mt. Hood,2 in.,"Jan 19, 2016",50 in.
Mt. Hood Meadows,99 in.,Mt. Hood,2 in.,"Feb  7, 2013",66 in.
Mt. Hood Ski Bowl,24 in.,Mt. Hood,14 in.,"Jan 19, 2012",60 in.
Hoodoo Ski Area,125 in.,Oregon,4 in.,"Mar 31, 2012",134 in.
Mt. Hood Meadows,86 in.,Mt. Hood,2 in.,"Feb 23, 2009",93 in.
Mount Ashland,63 in.,Oregon,4 in.,"Mar 13, 2012",112 in.
Hoodoo Ski Area,64 in.,Oregon,4 in.,"Feb 17, 2009",66 in.
Hoodoo Ski Area,65 in.,Oregon,6 in.,"Feb 24, 2009",72 in.
Anthony Lakes Mountain Resort,63 in.,Oregon,2 in.,"Apr  5, 2014",114 in.
Anthony Lakes Mountain Resort,63 in.,Oregon,4 in.,"Apr  6, 2014",118 in.
Mount Ashland,50 in.,Oregon,5 in.,"Dec 26, 2010",181 in.
Mount Ashland,53 in.,Oregon,3 in.,"Dec 27, 2010",184 in.
Willamette Pass,6 in.,Oregon,8 in.,"Dec 16, 2012",257 in.
Mt. Bachelor,148 in.,Oregon,2 in.,"Mar 24, 2011",211 in.
Mt. Bachelor,111 in.,Oregon,1 in.,"Mar 18, 2013",216 in.
Willamette Pass,51 in.,Oregon,6 in.,"Mar 12, 2009",132 in.
Mt. Bachelor,140 in.,Oregon,11 in.,"Mar 15, 2012",286 in.
Mt. Bachelor,164 in.,Oregon,1 in.,"Apr  9, 2009",230 in.
Mt. Bachelor,123 in.,Oregon,7 in.,"Apr  7, 2010",185 in.
Mt. Bachelor,64 in.,Oregon,15 in.,"Dec 13, 2015",162 in.
Mount Ashland,64 in.,Oregon,6 in.,"Apr 10, 2009",124 in.
Mt. Bachelor,106 in.,Oregon,8 in.,"Mar  6, 2014",450 in.
Mt. Hood Meadows,74 in.,Mt. Hood,1 in.,"Feb 10, 2014",98 in.
Mt. Hood Meadows,88 in.,Mt. Hood,1 in.,"Feb 14, 2010",65 in.
Mt. Hood Meadows,119 in.,Mt. Hood,3 in.,"Mar  9, 2011",101 in.
Mt. Hood Ski Bowl,44 in.,Mt. Hood,1 in.,"Jan 26, 2013",12 in.
Timberline Lodge,107 in.,Oregon,4 in.,"Jan 12, 2011",12 in.
Mt. Hood Ski Bowl,13 in.,Mt. Hood,1 in.,"Feb  6, 2014",29 in.
Mt. Hood Ski Bowl,17 in.,Mt. Hood,1 in.,"Feb  7, 2014",30 in.
Mt. Hood Ski Bowl,59 in.,Mt. Hood,2 in.,"Dec 25, 2015",39 in.
Mt. Hood Ski Bowl,59 in.,Mt. Hood,2 in.,"Dec 28, 2015",41 in.
Mt. Hood Ski Bowl,61 in.,Mt. Hood,6 in.,"Jan  9, 2009",44 in.
Mt. Hood Ski Bowl,44 in.,Mt. Hood,3 in.,"Jan 30, 2016",25 in.
Mt. Hood Ski Bowl,52 in.,Mt. Hood,1 in.,"Feb  3, 2016",26 in.
Timberline Lodge,87 in.,Oregon,7 in.,"Jan 18, 2010",15 in.
Mt. Hood Ski Bowl,35 in.,Mt. Hood,1 in.,"Feb  7, 2010",39 in.
Mt. Hood Ski Bowl,37 in.,Mt. Hood,4 in.,"Feb 11, 2010",43 in.
Timberline Lodge,116 in.,Oregon,8 in.,"Jan  6, 2009",47 in.
Mt. Hood Ski Bowl,44 in.,Mt. Hood,2 in.,"Feb 19, 2011",45 in.
Mt. Hood Ski Bowl,30 in.,Mt. Hood,3 in.,"Feb 22, 2011",48 in.
Mt. Hood Meadows,101 in.,Mt. Hood,7 in.,"Jan 30, 2012",147 in.
Mt. Hood Meadows,33 in.,Mt. Hood,4 in.,"Feb 28, 2015",33 in.
Mt. Hood Meadows,22 in.,Mt. Hood,1 in.,"Mar 21, 2015",34 in.
Mt. Hood Meadows,106 in.,Mt. Hood,20 in.,"Jan 20, 2016",70 in.
Mt. Hood Meadows,106 in.,Mt. Hood,2 in.,"Jan 21, 2016",72 in.
