CATEGORY,CALL GROUPS,final_case_type,CASE DESC,occ_date,x_coordinate,y_coordinate,census_tract
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/2/2016,7690024,681395,
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7640926,706540,3901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7641630,683659,5200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7642077,718961,7201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7642572,679493,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7643482,704601,3801
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7645311,684438,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7646856,692243,2203
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7648756,694132,3302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7649098,677777,1102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7649375,680137,1102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7651109,677407,1000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7654449,685538,2000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7660664,679849,1400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7668221,692436,2902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7670039,667820,602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7674659,681774,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7676501,671807,8302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7680454,688333,9400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7681315,681153,9201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7688247,676260,9101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/3/2016,7693193,681249,9702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/4/2016,7629413,708261,4102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/4/2016,7646230,705203,3701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/4/2016,7646542,697738,3401
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/4/2016,7649772,686973,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/4/2016,7657000,682975,1900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/4/2016,7666728,672403,702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/5/2016,7639804,704279,3901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/5/2016,7640202,681812,5500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/5/2016,7642768,686772,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/5/2016,7643417,685609,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/5/2016,7648654,676350,1000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/5/2016,7653370,675038,1000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/5/2016,7658143,690489,2600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/5/2016,7660511,696264,7500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/5/2016,7668759,676022,701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/5/2016,7679597,682608,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/5/2016,7688198,682476,9301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7624446,723309,7202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7635517,707766,3901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7642250,687041,5000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7642280,703624,3802
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7645313,684647,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7647089,711184,7202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7655743,704627,7300
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7657674,680680,1301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7657674,680680,1301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7663707,695430,7500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7669153,683641,1701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7669202,695458,7600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7669531,672817,8301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7669696,678619,1602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7678002,687457,8002
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7679621,667738,8500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7690044,683013,
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7690255,676379,9701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/6/2016,7692735,676482,9702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7633166,710137,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7641818,681419,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7642097,681726,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7643292,679074,5700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7644141,682090,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7645181,683408,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7649566,683020,2100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7650349,688126,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7651937,685583,2100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7652157,698320,3200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7652651,683578,2000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7666320,662826,8600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7666441,669699,502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7678654,682016,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7679377,669728,8500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7681505,682573,9201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7682884,676250,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/7/2016,7689773,682773,9301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/8/2016,7631163,671669,6802
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/8/2016,7643153,696391,3501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/8/2016,7646001,690583,2303
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/8/2016,7647496,687243,2303
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/8/2016,7650289,686955,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/8/2016,7651388,694526,3200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/8/2016,7652186,676988,1000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/8/2016,7659716,682340,1802
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/8/2016,7674387,696478,7800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/8/2016,7678762,673081,8400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/8/2016,7679356,673601,8400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/8/2016,7683208,674190,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7626156,708360,4102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7638738,686654,4700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7640110,701824,3902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7640177,703756,3902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7644616,685088,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7645137,685347,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7645396,684306,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7649080,690195,2203
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7649170,703566,
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7651434,681975,1201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7662627,663031,8800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7668372,684032,1701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7678691,686518,8100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7679890,673556,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7685286,694162,9501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/9/2016,7687212,678508,9701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7624294,710461,4200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7632199,704141,4002
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7643030,687702,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7643355,692791,3502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7644487,685933,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7644489,686808,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7644869,684100,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7646502,696364,3401
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7646930,693160,2203
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7647719,689403,2303
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7653030,662314,200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7656299,681578,1301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7656649,681568,1301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7665099,661755,8800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7666959,682188,1601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7667144,695596,7600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7669255,669042,601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7672028,675293,8301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7673516,686414,8100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7680555,684538,9302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/10/2016,7688203,682616,
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/11/2016,7632153,705052,4002
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/11/2016,7638738,686914,4700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/11/2016,7640311,706982,3901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/11/2016,7641981,687052,5000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/11/2016,7642628,711204,7202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/11/2016,7643923,683504,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/11/2016,7647998,697361,3401
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/11/2016,7656559,681651,1301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/11/2016,7658177,700928,3603
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/11/2016,7667325,674353,701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/11/2016,7673516,686414,8100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/11/2016,7678176,696022,7900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/11/2016,7681221,675731,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/11/2016,7689717,682776,9301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/12/2016,7627042,710048,4102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/12/2016,7634325,709052,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/12/2016,7643892,701492,3802
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/12/2016,7644523,712704,7202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/12/2016,7650143,682276,1101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/12/2016,7664864,671415,502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/12/2016,7666628,688347,2902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/12/2016,7669262,678285,1601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/12/2016,7670200,676891,1602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/12/2016,7670789,668523,601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/12/2016,7683679,672246,9102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/12/2016,7686609,674092,9101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/13/2016,7625825,714148,4101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/13/2016,7628059,709619,4102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/13/2016,7642928,680118,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/13/2016,7643593,682234,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/13/2016,7644119,683005,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/13/2016,7644785,682447,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/13/2016,7645213,684450,
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/13/2016,7654144,697584,3100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/13/2016,7655131,685808,2000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/13/2016,7663056,690959,2801
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/13/2016,7667466,693008,2902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/13/2016,7669133,671870,8301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/13/2016,7675137,681301,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/13/2016,7675376,682039,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/13/2016,7683998,681849,9201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/14/2016,7626382,709350,4200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/14/2016,7633907,699161,980000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/14/2016,7643771,704267,3801
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/14/2016,7645394,685089,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/14/2016,7647443,700820,3702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/14/2016,7648420,682695,1101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/14/2016,7649526,713801,7201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/14/2016,7657310,679830,1302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/14/2016,7665629,698570,7400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/14/2016,7681959,695146,9502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/15/2016,7635053,708155,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/15/2016,7636951,705498,3901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/15/2016,7643891,684374,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/15/2016,7648690,701966,3701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/15/2016,7650143,682276,1101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/15/2016,7658709,674420,802
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/15/2016,7674443,696655,7800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/15/2016,7677692,697155,7300
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/15/2016,7680677,676590,9201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/15/2016,7683340,666341,8901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/15/2016,7683622,666865,8901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/15/2016,7684842,675842,9101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/15/2016,7690615,687262,
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7627371,708669,4102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7629574,707855,4102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7639521,685520,4800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7641403,681407,5500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7641527,679007,5800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7643124,680097,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7643676,684569,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7647136,699839,3702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7648269,705221,3701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7648858,699825,3601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7653731,672666,902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7654282,671015,301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7666853,687655,1701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7669793,673762,8301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7671470,664560,602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7690664,679282,9702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/16/2016,7691137,680080,9702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/17/2016,7628472,662525,6501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/17/2016,7642802,681241,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/17/2016,7643461,682516,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/17/2016,7643917,682523,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/17/2016,7644246,716431,7201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/17/2016,7648588,676423,1000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/17/2016,7651461,677130,1000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/17/2016,7655162,686715,2000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/17/2016,7656790,712183,7300
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/17/2016,7657264,682071,1301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/17/2016,7672053,675875,8301
